id,verified_duration_s,text_word_resolved_frac,text_P_bins,text_O_bins,audio_P_bins,audio_O_bins,vision_P_bins,vision_O_bins,vision_face_coverage,finite_all,po_consistent,text_alignment_status,text_alignment_state,text_content_present,text_word_content_count,text_P_unknown_bins,text_O_unknown_bins,audio_pcm_end_s,audio_lld_frame_count,video_coverage_end_s,source_map_sha256
-I_e4mIh0yE$_$1,7.622005,1.0,35,35,49,49,50,50,1.0,1,1,VERIFIED,1,1,21,15,15,7.4443125,740,7.6,ebee3aa4017f2915013927ebb2bd3b8a6bf618e95685866cdfccd5621eb44c27
-I_e4mIh0yE$_$3,9.163021,0.9231,35,35,50,50,50,50,1.0,1,1,VERIFIED,1,1,29,15,15,8.994375,895,9.133333333333333,64ff14480abb9d3c46cf1381b19e918f4de16f6ec5b00c0eff04bb0fb240dab9
-MeTTeMJBNc$_$0,9.3,0.9565,39,39,50,50,50,50,0.996415770609319,1,1,VERIFIED,1,1,26,11,11,9.2183125,917,9.333333333333334,07bc0ad72d6cfca2c6e689ce4852c0adbff6d40d0f3abf3d9b499d0f46e4083c
-MeTTeMJBNc$_$13,5.430013,1.0,34,34,49,49,50,50,1.0,1,1,VERIFIED,1,1,16,16,16,5.2555,521,5.3999999999999995,91d0efae56a3dc3fa568e92d1f8bfff01fe2bfa72d8690a91093f1c5b31d69c4
-MeTTeMJBNc$_$7,10.516992,1.0,43,43,50,50,50,50,1.0,1,1,VERIFIED,1,1,33,7,7,10.4113125,1037,10.5,e48ef79f184b5e54a3c0902c21933e9f2424ae38f1c98a5239e286c82e8d1c5c
-NFrJFQijFE$_$1,5.746,0.0,0,0,50,50,50,0,0.0,1,1,UNRESOLVED,2,1,16,50,50,5.658875,561,5.72,30b19132f6ff2f4dc8f01b472974111920658fc99dcf598e560af9cdb25dbd84
-NFrJFQijFE$_$2,6.856,0.2222,0,0,49,49,50,0,0.0,1,1,UNRESOLVED,2,1,18,50,50,6.6983125,665,6.84,80a96add5078151d314cb587faaf1cd0d4010c515f0b9ec24b3bb38ab60ca2b8
-RfYyzHpjk4$_$11,5.238997,1.0,35,35,49,49,50,50,1.0,1,1,VERIFIED,1,1,19,15,15,5.074875,503,5.233333333333333,b11acbe94eed2a023882ff7395e2972f1f8e5dbbd9a1bf5a52a3d0a9cf506280
-RfYyzHpjk4$_$2,5.516016,0.8519,37,37,49,49,50,49,1.0,1,1,VERIFIED,1,1,29,13,13,5.3918125,535,5.5,424156811ba04e7e91fcfcbda631561f428c3487aaa12a7fdfbfbf8343404f7f
-RfYyzHpjk4$_$8,4.588997,0.9474,39,39,50,50,50,50,1.0,1,1,VERIFIED,1,1,21,11,11,4.532375,449,4.566666666666666,45a63ac2a1caec9e4b7fefaa8c6fa93aed7fd7731fb022c60ae7f72f3d11627c
-THoVjtIkeU$_$12,14.896029,1.0,45,45,50,50,50,50,1.0,1,1,VERIFIED,1,1,42,5,5,14.8055625,1476,14.866666666666667,5cc6b161499b03b0c3a130ff6036c3bf183253a520eed16cdaf4933ec69ff573
-THoVjtIkeU$_$2,4.291992,1.0,35,35,50,50,50,50,1.0,1,1,VERIFIED,1,1,11,15,15,4.230875,419,4.266666666666667,ea6a4c7cdefc4140a609163ce083ca1a789150da54f517ce2ca769d1f9bf40f8
-THoVjtIkeU$_$6,8.097005,0.9333,41,41,50,50,50,50,0.995850622406639,1,1,VERIFIED,1,1,32,9,9,7.982875,794,8.066666666666666,ec16be1c67ac19ca5aeda9a12674ec7cc62ec3d404d3d16bc527ba69f82a5f28
-UUCSKoHeMA$_$0,7.8,0.85,33,33,50,50,50,50,0.9957264957264957,1,1,VERIFIED,1,1,22,17,17,7.73225,769,7.866666666666666,c702f89470833cc8849d9b6fa4a75b8f2a5eb907d97a1672de9b4c5214e895f7
-UacrmKiTn4$_$10,7.361979,1.0,37,37,50,50,50,50,1.0,1,1,VERIFIED,1,1,22,13,13,7.2420625,720,7.333333333333333,ddd3bd967e8385d5c48c8ea666a2a50ffd28c80f263ac9d1a7f435d4dfa8cdae
-UacrmKiTn4$_$4,4.741016,1.0,39,39,50,50,50,50,1.0,1,1,VERIFIED,1,1,15,11,11,4.6819375,464,4.733333333333333,7c8886bf36ed4a9135b221d1cd2af0e092ad6fbe18db07bc5bc849d6b7073ad8
-UuX1xuaiiE$_$0,3.633333,0.7273,0,0,50,50,50,24,1.0,1,1,UNRESOLVED,2,1,12,50,50,3.575875,353,3.6999999999999997,71cb4c9103f80aab72c355a3366822b4624c070a1f86dbb5dd92cc124137d7d2
-UuX1xuaiiE$_$1,10.35,0.9655,42,42,50,50,50,3,1.0,1,1,VERIFIED,1,1,33,8,8,10.2675,1022,10.333333333333334,21af09127572a86e61406ff934cc79ba435eee951b7c5ff5fe7accb219ba7335
-UuX1xuaiiE$_$3,4.130013,0.8889,27,27,49,49,50,50,1.0,1,1,VERIFIED,1,1,9,23,23,4.038375,399,4.1,8fc5718bca196ed9365e2286c2c05abb5029fa4274c2ce1cc373dba746e4b45a
-UuX1xuaiiE$_$6,8.113997,0.9545,38,38,49,49,50,50,1.0,1,1,VERIFIED,1,1,23,12,12,7.9438125,790,8.1,f9eabb951d9dea7cf79ee95e27caa7359acaa5bc25db517f2b1149499bb84337
-a55Q6RWvTA$_$3,22.153971,0.942,45,45,50,50,50,49,1.0,1,1,VERIFIED,1,1,81,5,5,22.0833125,2204,22.133333333333336,5cddafd5929d5461c16039bc0424f4137a3275539d770ac5ba7fc8a141cd4e65
-aNfi7CP8vM$_$7,8.694987,0.95,38,38,50,50,50,50,1.0,1,1,VERIFIED,1,1,23,12,12,8.5376875,849,8.666666666666666,e36bcfc7dc0ffb607e3da264fa99b3da753e84b66a7bf0e41eb8cfb8f0b442bf
-aqamKhZ1Ec$_$0,10.966667,1.0,32,32,50,50,50,50,1.0,1,1,VERIFIED,1,1,16,18,18,10.8901875,1085,11.0,74dcf1f41188106d31469947f3bd1b7668abbd1688bcd6d1d834218f9cd59715
-dxfTGcXJoc$_$0,20.5,1.0,41,41,50,50,50,40,0.7821138211382114,1,1,VERIFIED,1,1,49,9,9,20.410375,2037,20.533333333333335,178827e1fb103e784576231991f94d5984847e2049d888676f63ff6dbfe98d3a
-dxfTGcXJoc$_$1,16.161003,1.0,47,47,50,50,50,50,1.0,1,1,VERIFIED,1,1,41,3,3,16.018125,1597,16.133333333333336,09061f843dc882ea2e242303b96ee7dff2428f62594a6757d740e305a4d4b543
-dxfTGcXJoc$_$2,16.697982,1.0,43,43,50,50,50,50,1.0,1,1,VERIFIED,1,1,39,7,7,16.6331875,1659,16.666666666666668,3346b8e6c9f2aa6d03c44f1561e4460c10d556c389758326003731931ce4b7b7
-dxfTGcXJoc$_$6,12.735026,0.9655,45,45,50,50,50,50,1.0,1,1,VERIFIED,1,1,32,5,5,12.6284375,1258,12.733333333333333,ba5c0d7f9742f433e9825b3817fec21dc14120ac62a68893eb5eabd1ff219c34
-egA8-b7-3M$_$1,10.266016,1.0,33,33,50,50,50,50,1.0,1,1,VERIFIED,1,1,22,17,17,10.15625,1011,10.233333333333333,bdd9e88aa67b0027e0af9bda4e7a1a6ec7a9881ce1f293345d682dff687e4299
-egA8-b7-3M$_$13,4.183984,1.0,31,31,49,49,50,50,1.0,1,1,VERIFIED,1,1,16,19,19,4.023875,398,4.166666666666667,d22c80a90ad3aa34f57236b661c7dca878e4bf1050b0b8f5a58f8e337b0db68c
-egA8-b7-3M$_$16,5.538021,1.0,40,40,50,50,50,50,1.0,1,1,VERIFIED,1,1,13,10,10,5.483,544,5.533333333333333,d6ef0eafc00f4f77e9441ded6c7d3317af6a550f8d1b0baee2cc191cd26e64c9
-egA8-b7-3M$_$17,7.271029,1.0,32,32,49,49,50,50,1.0,1,1,VERIFIED,1,1,19,18,18,7.09525,705,7.266666666666667,31744cfca303776abc062fb16f99d1ed73bf1d22ff7e081626325225ef26727b
-egA8-b7-3M$_$18,8.386003,0.9615,39,39,50,50,50,50,1.0,1,1,VERIFIED,1,1,27,11,11,8.2656875,822,8.366666666666667,392aeb68460b3a6ad7193b6393c0d06b39ede68dfd141ee77cc58e7018fd70c6
-egA8-b7-3M$_$20,6.644987,1.0,37,37,49,49,50,50,1.0,1,1,VERIFIED,1,1,24,13,13,6.4744375,643,6.633333333333333,29a7a2d48680e6a7568c47e30c97164817ca672607eee0ddeede6dc1518b2580
-egA8-b7-3M$_$26,6.03099,0.9412,37,37,50,50,50,50,1.0,1,1,VERIFIED,1,1,18,13,13,5.9205625,588,6.0,99b71d554d310a5caa3deec108b7cb0b344851ebcee7a533e704fde8a627276e
-egA8-b7-3M$_$6,6.264974,1.0,39,39,50,50,50,50,1.0,1,1,VERIFIED,1,1,13,11,11,6.183125,614,6.233333333333333,b7aa71077584897c0aeba989fe642e9c1a4c1216c075b83d67be563cf6ae7282
-egA8-b7-3M$_$9,5.089974,1.0,37,37,49,49,50,50,1.0,1,1,VERIFIED,1,1,12,13,13,4.936125,489,5.066666666666666,4043c315e5c7522471df4e72d5cd98f94bcafcb62e61500947d3c3bf8602c718
-hnBHBN8p5A$_$6,6.401,0.3077,0,0,50,50,50,13,0.8169934640522876,1,1,UNRESOLVED,2,1,14,50,50,6.3328125,629,6.38137497972425,09204b1fb7fcf3ff49e79738d2291b5064bafdde6f10a58b9ff4cef70a875f0e
-hnBHBN8p5A$_$7,7.372,0.3571,0,0,50,50,50,13,0.8806818181818182,1,1,UNRESOLVED,2,1,17,50,50,7.3085625,726,7.340663888888889,00159c0ff5eed4747697df8ac8de03e9a22e12e6d64da30f20dfff1aa945a805
-iRBcNs9oI8$_$3,5.621,0.5,0,0,50,50,50,0,1.0,1,1,UNRESOLVED,2,1,9,50,50,5.53825,549,5.6056,ba248aec6dc39ed776044d49f77c72337ae7f57e34bb57b857590511a5a4df9f
-iRBcNs9oI8$_$6,2.903,0.6,0,0,49,49,49,0,1.0,1,1,UNRESOLVED,2,1,5,50,50,2.8204375,278,2.8695333333333335,07a877a8ffce3a1979a4690a12bd6003bd019017b0a54312fdb16b946494c65d
-iRBcNs9oI8$_$7,4.104,0.3636,0,0,49,49,49,0,1.0,1,1,UNRESOLVED,2,1,15,50,50,4.00575,396,4.070733333333333,388749b5118b263b943bd4512811dca092e59e74ce9883f123c3c82c882c1a8c
-iRBcNs9oI8$_$8,8.093,0.4348,0,0,50,50,50,0,1.0,1,1,UNRESOLVED,2,1,26,50,50,8.0260625,798,8.074733333333333,7f519616df35b779e1ff5d84dfc6d3dc1514f0cb7f618dc23c78034b7aff6a10
-iRBcNs9oI8$_$9,3.416,0.2,0,0,50,50,50,4,0.9901960784313726,1,1,UNRESOLVED,2,1,5,50,50,3.3740625,333,3.4034,eaff19f3ecd4a253e6eb6a606123d0aecc7a0da7b49be1b84f3813893a409cc2
-lzEya4AM_4$_$5,7.675,0.8947,33,33,50,50,50,50,1.0,1,1,VERIFIED,1,1,21,17,17,7.5696875,752,7.666666666666667,83bb8660ad6e836a2699cd4c2b4006a2046f7680501edd5e47fd281f652034d3
-lzEya4AM_4$_$6,14.791992,0.9767,42,42,50,50,50,50,1.0,1,1,VERIFIED,1,1,46,8,8,14.740375,1470,14.766666666666666,a0e305566c26dbeab65f1135baeecacc19c4a8bcbe3dda3d59f589cfd1d81c6c
-mJ2ud6oKI8$_$1,6.103,0.0,0,0,50,50,50,0,0.0,1,1,UNRESOLVED,2,1,13,50,50,6.0545,601,6.072733333333334,21a326af151d50c2d0a3ba2146804f811c6ca39011463efab90d6c07ce23e6c7
-mJ2ud6oKI8$_$2,5.731,0.0,0,0,50,50,50,0,0.8421052631578947,1,1,UNRESOLVED,2,1,11,50,50,5.7016875,566,5.7057,19d9038504729ffdff6293c03a27b0b87dde28b97da756cfafe4c960c15da765
-mJ2ud6oKI8$_$6,2.257,0.8,34,34,50,50,49,49,1.0,1,1,VERIFIED,1,1,5,16,16,2.228125,218,2.2355666666666667,0e33d375d3d6f60ac1f6e0baa3ef349f4a5daa14738b29383edb387809d33d07
-mJ2ud6oKI8$_$8,4.192,0.3636,0,0,50,50,50,50,1.0,1,1,UNRESOLVED,2,1,11,50,50,4.171375,413,4.170833333333333,ee7039e957051a7150609ef864b2bb842f34c8232bcf8a5d233b866ee5ca5863
-mJ2ud6oKI8$_$9,7.033,0.3462,0,0,50,50,50,50,1.0,1,1,UNRESOLVED,2,1,27,50,50,6.90875,686,7.007,8619d016ab229e69610bb4f0de9729c8907816018420bb1797ea5602cf05b404
-mqbVkbCndg$_$0,6.466667,1.0,34,34,50,50,50,50,1.0,1,1,VERIFIED,1,1,17,16,16,6.3855,634,6.5,8bba1bd0cf5cd634ca9e4bb5c4e69efc4e83b6882ae04a5ec9e8b6eb47330a00
-qDkUB0GgYY$_$6,4.677995,0.875,30,30,50,50,50,50,1.0,1,1,VERIFIED,1,1,18,20,20,4.6146875,457,4.666666666666667,ae1398630382d0c0c5f35db738ec11154e3a1b6d9d7b0881b9b57bc15d56710e
-ri04Z7vwnc$_$0,2.807,0.0,0,0,50,50,50,0,0.0,1,1,UNRESOLVED,2,1,8,50,50,2.76325,272,2.794463853727145,b12fac9f2697a84a3da8834307f0bae8565d9ac76c1da7e2d0cd236deecc21f9
-ri04Z7vwnc$_$2,6.027,0.1364,0,0,50,50,50,18,0.35664335664335667,1,1,UNRESOLVED,2,1,26,50,50,5.913375,587,6.005997188755019,f9532d39151cb7f808574a03cd1b4e61eb6271f1963955f668b4dae177acfe75
-ri04Z7vwnc$_$5,3.545,0.2,0,0,49,49,49,49,1.0,1,1,UNRESOLVED,2,1,11,50,50,3.43975,339,3.503508294209703,6c94ca2d6d2e1aa3372a2fe618287edbd04a0f41560c281955f69ad381d17aa9
-s9qJ7ATP7w$_$0,6.8,0.9583,38,38,50,50,50,50,1.0,1,1,VERIFIED,1,1,28,12,12,6.7105625,667,6.866666666666666,7433037ced7adcd882b155c8101386f92fd0dd3154869296af571ee5d79b37ad
-s9qJ7ATP7w$_$1,4.791992,1.0,30,30,49,49,49,49,1.0,1,1,VERIFIED,1,1,12,20,20,4.6438125,460,4.766666666666667,4c145ee5042ca507b53f52a656aa5aecdc6123c16aefcca2b1191d41e136df51
-s9qJ7ATP7w$_$4,4.427018,1.0,31,31,48,48,49,33,1.0,1,1,VERIFIED,1,1,10,19,19,4.246875,420,4.3999999999999995,19db0fcaa7213bdeaa4939c65df1405425ed0635a7137092faaacb357141b2cf
-s9qJ7ATP7w$_$5,8.561003,0.9474,32,32,50,50,50,50,1.0,1,1,VERIFIED,1,1,20,18,18,8.397875,835,8.533333333333333,dac0c9d5c57c34978bbc20672404caf0015667465b2919f26ce678df3402a3ee
-s9qJ7ATP7w$_$6,2.475,1.0,17,17,47,47,48,38,0.8309859154929577,1,1,VERIFIED,1,1,5,33,33,2.3148125,227,2.4666666666666663,c520f3e9de5aa42707e7cf88355d4ee4b11a7882dfce9f7c203a8bf1c51a2f46
-s9qJ7ATP7w$_$7,6.966016,0.8667,40,40,50,50,50,30,0.7391304347826086,1,1,VERIFIED,1,1,36,10,10,6.8385625,679,6.933333333333334,1866dabd8ee31c73d9622c8a55ef678ffe0b87e87147d6ea94f563ca2f8134a0
-s9qJ7ATP7w$_$8,3.294987,0.8333,31,31,49,49,50,50,1.0,1,1,VERIFIED,1,1,17,19,19,3.18425,314,3.2666666666666666,a454056aebdddc5c5b2146d61eabb0518f7c10d9bdea0c5f965fd26ff16d61c3
-t217m2on-s$_$2,5.686003,1.0,29,29,50,50,50,50,1.0,1,1,VERIFIED,1,1,14,21,21,5.6301875,559,5.666666666666667,3f27345023a3b5ad246b377a277491c94ea0564ae03ef3ee54d152e730ea882b
-t217m2on-s$_$7,17.183008,0.9796,42,42,50,50,50,50,1.0,1,1,VERIFIED,1,1,52,8,8,17.026375,1698,17.166666666666668,7b23c3cac24a5ca608f6f4576e5282452c0a618718f98f15c349582cb01affba
-tANM6ETl_M$_$3,6.758008,0.8846,43,43,49,49,50,50,1.0,1,1,VERIFIED,1,1,29,7,7,6.603625,656,6.733333333333333,28e32e4c75937143f0ccafe7a329febf624e8fcc718fba994e66d6df0f031670
-tPCytz4rww$_$10,4.788997,1.0,33,33,49,49,50,50,1.0,1,1,VERIFIED,1,1,15,17,17,4.6788125,463,4.766666666666667,5883eabc725ea84350963787048f1b367195563823cab8cb2668534303a80cc8
-tPCytz4rww$_$11,5.466992,1.0,38,38,50,50,50,50,1.0,1,1,VERIFIED,1,1,19,12,12,5.3785625,533,5.466666666666667,b6e765fabd36d5468ecf7c23fda3fedc99559363667075ee0d6b9c2a66489b6e
-tPCytz4rww$_$12,11.863997,0.9231,38,38,50,50,50,50,1.0,1,1,VERIFIED,1,1,28,12,12,11.7361875,1169,11.833333333333334,46870924a110a364dd2d01529fd97cf9e3064c399d2952e58db9616faa5a848e
-tPCytz4rww$_$16,7.20599,1.0,31,31,50,50,50,50,1.0,1,1,VERIFIED,1,1,17,19,19,7.1391875,709,7.2,06dfb0034bf98e5602ee142e89999574e25d59b94c8eeba9551166c7f5904a73
-tPCytz4rww$_$18,6.644987,0.95,34,34,50,50,50,50,1.0,1,1,VERIFIED,1,1,21,16,16,6.5688125,652,6.633333333333333,55be4b220263c02690b2f30a2dc1c334f4bd965ad668c1027d30c42ecc2360ce
-uywlfIYOS8$_$4,6.044987,1.0,41,41,49,49,50,50,1.0,1,1,VERIFIED,1,1,22,9,9,5.881125,584,6.033333333333333,132798295e4a32fd90eaf9d50bd4f65da8c4c30da5a1d81715ec0e9681405dba
-vxjVxOeScU$_$4,9.127018,0.84,36,36,50,50,50,50,1.0,1,1,VERIFIED,1,1,27,14,14,9.0370625,899,9.1,4f2630484bd10c0756fb1aa074cd0c9544ba4d69210ae8153afc56764868c375
-wMB_hJL-3o$_$7,6.04401,1.0,39,39,50,50,50,50,0.9668508287292817,1,1,VERIFIED,1,1,23,11,11,5.9755625,593,6.033333333333333,ac1bddd824ff2e43d7e37471f7a5987922125ffca47e5d04dcc0a82376d7725d
-wny0OAz3g8$_$0,3.333333,1.0,37,37,50,50,50,50,1.0,1,1,VERIFIED,1,1,11,13,13,3.274,323,3.333333333333333,a888211e5ab49c20797e3289a28a3459d2a86c52e8f15016701071d96800eee9
-wny0OAz3g8$_$1,6.84401,1.0,42,42,50,50,50,49,1.0,1,1,VERIFIED,1,1,28,8,8,6.7765625,673,6.833333333333333,5a7a4245761e9c124e840268ebcfb58bcd89d431510adabd3b23585cd8ee02cd
-wny0OAz3g8$_$2,6.686979,1.0,41,41,49,49,50,50,1.0,1,1,VERIFIED,1,1,28,9,9,6.5226875,648,6.666666666666667,216a3201c9f02c545fd675c5e9be270d21e2ca1bd2a596d7a3eda91bd070e75b
-wny0OAz3g8$_$3,6.146029,1.0,41,41,50,50,50,43,1.0,1,1,VERIFIED,1,1,20,9,9,6.099875,605,6.133333333333333,6f9d60ff2fdb35be97d8fbc26309ba719bc1e4ab812cac0d22312529e0f0761c
-wny0OAz3g8$_$5,6.911979,0.9524,42,42,49,49,50,42,1.0,1,1,VERIFIED,1,1,23,8,8,6.7414375,670,6.8999999999999995,e8853a859be4d15c08aa700b96001733b6c3e43fcb385eb90aa0fe4ff574bc78
-wny0OAz3g8$_$7,8.067969,1.0,49,49,50,50,50,43,1.0,1,1,VERIFIED,1,1,29,1,1,7.9105,787,8.066666666666666,6b09ad6a0b39630ecf9685e5e3f18a075963995dfab22dabab604ae1c760ee5d
-wny0OAz3g8$_$9,6.213021,0.95,41,41,49,49,50,49,1.0,1,1,VERIFIED,1,1,22,9,9,6.0435,600,6.2,b073d6118506354af3a611c7f92a9de2884c3133f43399a04fd0915b6e79c989
-yRb-Jum7EQ$_$1,29.288021,0.4694,0,0,50,50,50,50,1.0,1,1,UNRESOLVED,2,1,55,50,50,29.10975,2906,29.26666666666667,d7897115f3206d9299f12cdd9b4b6ca0b48116d724b557be481d7921a6bb3514
-yRb-Jum7EQ$_$5,13.16901,0.36,0,0,50,50,50,50,1.0,1,1,UNRESOLVED,2,1,29,50,50,13.0445625,1300,13.166666666666666,8ac42837f450630b1921a985bcf041acd8d3a7cec3ef06bd024e914efd9d2713
-yRb-Jum7EQ$_$6,11.241995,0.3158,0,0,50,50,50,50,1.0,1,1,UNRESOLVED,2,1,22,50,50,11.2425625,1120,11.2,4522280e9c875c584834629f66c4d65c6f22782db6331ab534fc7acc7c35406d
