id,raw_video,source_exists,raw_size_bytes,verified_duration_s,old_manifest_duration_s,nominal_fps,n_video_frames_decoded,orig_audio_sr,orig_audio_channels,label,annotation,text_alignment_status,n_words,n_alignable,n_words_resolved,text_P_bins,text_O_bins,audio_P_bins,audio_O_bins,vision_P_bins,vision_O_bins,finite_all,po_consistent,npz_sha256,text_alignment_state,text_content_present,text_word_content_count,text_P_unknown_bins,text_O_unknown_bins,text_feature_dim,audio_feature_dim,vision_feature_dim,common_bins,text_verified_bins,text_unknown_bins,audio_valid_bins,vision_valid_bins,audio_pcm_end_s,video_coverage_end_s,audio_lld_frame_count,source_map_sha256
-HwX2H8Z4hY$_$6,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/6.mp4,1,978678,3.358008,6.767,30.0,99,44100,2,0.0,Neutral,VERIFIED,8,7,7,29,29,49,49,50,32,1,1,1c190ba17fa9dcf976ec93310f8fb8283512f36de3ad657b2bce374080fc8638,1,1,8,21,21,768,25,1404,50,29,21,49,32,3.256,3.333333333333333,321,e8a030db122b82971e6319fc4483acd44614cc31f4a65214de2ea425daf484ab
-HwX2H8Z4hY$_$9,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/9.mp4,1,981914,7.733984,11.434,30.0,232,44100,2,-0.3333333432674408,Negative,VERIFIED,24,24,21,43,43,50,50,50,0,1,1,8f1540e772a41bb482f55029b2b12aa6104533e410459ee6dcf52d133f0be2e6,1,1,24,7,7,768,25,1404,50,43,7,50,0,7.6363125,7.733333333333333,759,8ac1b353877a081be3e26ec983019cbb9b7cd065781163a6b78faa09454a3fc9
-I_e4mIh0yE$_$1,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-I_e4mIh0yE/1.mp4,1,487464,7.622005,10.767,30.0,225,44100,2,-0.6666666865348816,Negative,VERIFIED,21,20,20,35,35,49,49,50,50,1,1,d070bbce637e9884e9fb4fe80fcb0a9f1a0ecc20293604ae433dcf873dbaa544,1,1,21,15,15,768,25,1404,50,35,15,49,50,7.4443125,7.6,740,ebee3aa4017f2915013927ebb2bd3b8a6bf618e95685866cdfccd5621eb44c27
-I_e4mIh0yE$_$3,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-I_e4mIh0yE/3.mp4,1,425914,9.163021,9.3,30.0,271,44100,2,0.6666666865348816,Positive,VERIFIED,29,26,24,35,35,50,50,50,50,1,1,b61d39a4b98659798fccccb7260222b5fb19f7e62c1811c378b1ef8cea1628a9,1,1,29,15,15,768,25,1404,50,35,15,50,50,8.994375,9.133333333333333,895,64ff14480abb9d3c46cf1381b19e918f4de16f6ec5b00c0eff04bb0fb240dab9
-MeTTeMJBNc$_$0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-MeTTeMJBNc/0.mp4,1,350827,9.3,9.334,30.0,279,44100,2,0.3333333432674408,Positive,VERIFIED,26,23,22,39,39,50,50,50,50,1,1,4cdae7071e362712f9b2cf796df155196ece321aea644f9a045d1e133376a8ea,1,1,26,11,11,768,25,1404,50,39,11,50,50,9.2183125,9.333333333333334,917,07bc0ad72d6cfca2c6e689ce4852c0adbff6d40d0f3abf3d9b499d0f46e4083c
-MeTTeMJBNc$_$13,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-MeTTeMJBNc/13.mp4,1,271826,5.430013,7.467,30.0,159,44100,2,0.3333333432674408,Positive,VERIFIED,16,14,14,34,34,49,49,50,50,1,1,11f9be240c266d855e4dd31bb8b34e6c1c719b5c22bc363624594eb394b7fb69,1,1,16,16,16,768,25,1404,50,34,16,49,50,5.2555,5.3999999999999995,521,91d0efae56a3dc3fa568e92d1f8bfff01fe2bfa72d8690a91093f1c5b31d69c4
-MeTTeMJBNc$_$7,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-MeTTeMJBNc/7.mp4,1,632477,10.516992,17.367,30.0,314,44100,2,1.3333333730697632,Positive,VERIFIED,33,31,31,43,43,50,50,50,50,1,1,85b6dc75f5da75d5ea3267fce3c2982bd84a7f262caa4ab510c9921feb3d9510,1,1,33,7,7,768,25,1404,50,43,7,50,50,10.4113125,10.5,1037,e48ef79f184b5e54a3c0902c21933e9f2424ae38f1c98a5239e286c82e8d1c5c
-NFrJFQijFE$_$1,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/1.mp4,1,1024510,5.746,9.12,25.0,142,44100,2,0.3333333432674408,Positive,UNRESOLVED,16,16,0,0,0,50,50,50,0,1,1,61691733bafb87b94a800c312e13cab699dcd71c7738707ba22fa2a4b8cbe64b,2,1,16,50,50,768,25,1404,50,0,50,50,0,5.658875,5.72,561,30b19132f6ff2f4dc8f01b472974111920658fc99dcf598e560af9cdb25dbd84
-NFrJFQijFE$_$2,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/2.mp4,1,1452918,6.856,9.76,25.0,169,44100,2,0.0,Neutral,UNRESOLVED,18,18,4,0,0,49,49,50,0,1,1,8807e57457f1a131af891fed651ef327a63341815ca4814d1e4d7e4bbe75c5e2,2,1,18,50,50,768,25,1404,50,0,50,49,0,6.6983125,6.84,665,80a96add5078151d314cb587faaf1cd0d4010c515f0b9ec24b3bb38ab60ca2b8
-RfYyzHpjk4$_$11,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-RfYyzHpjk4/11.mp4,1,2061678,5.238997,11.7,30.0,154,44100,2,2.0,Positive,VERIFIED,19,17,17,35,35,49,49,50,50,1,1,7e7b95a3ca4a22f83c8c7ee61baba4cb43218246076e3a8497d61588fe718019,1,1,19,15,15,768,25,1404,50,35,15,49,50,5.074875,5.233333333333333,503,b11acbe94eed2a023882ff7395e2972f1f8e5dbbd9a1bf5a52a3d0a9cf506280
-RfYyzHpjk4$_$2,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-RfYyzHpjk4/2.mp4,1,1138330,5.516016,6.234,30.0,164,44100,2,0.3333333432674408,Positive,VERIFIED,29,27,23,37,37,49,49,50,49,1,1,a0a8aa9212b7ad6f6074eaf942484cfbe3ded70863ec3f6bae362df91d32c7f0,1,1,29,13,13,768,25,1404,50,37,13,49,49,5.3918125,5.5,535,424156811ba04e7e91fcfcbda631561f428c3487aaa12a7fdfbfbf8343404f7f
-RfYyzHpjk4$_$8,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-RfYyzHpjk4/8.mp4,1,2256195,4.588997,11.657,30.0,137,44100,2,0.3333333432674408,Positive,VERIFIED,21,19,18,39,39,50,50,50,50,1,1,816bc1aa56ab81547099fcacb1ebe885245c64dc34f20b7c058646fb11c456d7,1,1,21,11,11,768,25,1404,50,39,11,50,50,4.532375,4.566666666666666,449,45a63ac2a1caec9e4b7fefaa8c6fa93aed7fd7731fb022c60ae7f72f3d11627c
-THoVjtIkeU$_$12,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/12.mp4,1,1262553,14.896029,18.8,30.0,445,44100,2,2.0,Positive,VERIFIED,42,39,39,45,45,50,50,50,50,1,1,d2442fe33cecd0121f59363edd9d7e359b155b4583214112d105d68ef54e1f70,1,1,42,5,5,768,25,1404,50,45,5,50,50,14.8055625,14.866666666666667,1476,5cc6b161499b03b0c3a130ff6036c3bf183253a520eed16cdaf4933ec69ff573
-THoVjtIkeU$_$2,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/2.mp4,1,347917,4.291992,4.644,30.0,128,44100,2,1.3333333730697632,Positive,VERIFIED,11,10,10,35,35,50,50,50,50,1,1,2eb3f7eccc6e1b3108c1e9a8883fd7a01aec9952b80ef09640300d3267d467ae,1,1,11,15,15,768,25,1404,50,35,15,50,50,4.230875,4.266666666666667,419,ea6a4c7cdefc4140a609163ce083ca1a789150da54f517ce2ca769d1f9bf40f8
-THoVjtIkeU$_$6,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/6.mp4,1,801802,8.097005,11.067,30.0,241,44100,2,2.6666667461395264,Positive,VERIFIED,32,30,28,41,41,50,50,50,50,1,1,b74c06bf86515b829c497c615b0208ea2f045ab3c981875e171eedd394c0903d,1,1,32,9,9,768,25,1404,50,41,9,50,50,7.982875,8.066666666666666,794,ec16be1c67ac19ca5aeda9a12674ec7cc62ec3d404d3d16bc527ba69f82a5f28
-UUCSKoHeMA$_$0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UUCSKoHeMA/0.mp4,1,286208,7.8,7.867,30.0,234,44100,2,0.0,Neutral,VERIFIED,22,20,17,33,33,50,50,50,50,1,1,57ded1ac71292b1d69d409e1e881e66a4b788623cf78bea5a149e495746891bb,1,1,22,17,17,768,25,1404,50,33,17,50,50,7.73225,7.866666666666666,769,c702f89470833cc8849d9b6fa4a75b8f2a5eb907d97a1672de9b4c5214e895f7
-UacrmKiTn4$_$10,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UacrmKiTn4/10.mp4,1,486491,7.361979,12.634,30.0,218,44100,2,-0.6666666865348816,Negative,VERIFIED,22,20,20,37,37,50,50,50,50,1,1,ed5f4452164a332deee111359def34ac16dadddb2d7dda394cf8057a02c43919,1,1,22,13,13,768,25,1404,50,37,13,50,50,7.2420625,7.333333333333333,720,ddd3bd967e8385d5c48c8ea666a2a50ffd28c80f263ac9d1a7f435d4dfa8cdae
-UacrmKiTn4$_$4,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UacrmKiTn4/4.mp4,1,249701,4.741016,6.223,30.0,142,44100,2,-1.3333333730697632,Negative,VERIFIED,15,14,14,39,39,50,50,50,50,1,1,50a2c261e55d0d8b459ddf8ba77901ea8c531a494674359a8c8545dfbc5e70fb,1,1,15,11,11,768,25,1404,50,39,11,50,50,4.6819375,4.733333333333333,464,7c8886bf36ed4a9135b221d1cd2af0e092ad6fbe18db07bc5bc849d6b7073ad8
-UuX1xuaiiE$_$0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/0.mp4,1,654518,3.633333,3.7,30.0,109,44100,2,2.6666667461395264,Positive,UNRESOLVED,12,11,8,0,0,50,50,50,24,1,1,f4bdaffa26229c39c673fef20bec9c23ba8feae8b96422747c353df570d75e26,2,1,12,50,50,768,25,1404,50,0,50,50,24,3.575875,3.6999999999999997,353,71cb4c9103f80aab72c355a3366822b4624c070a1f86dbb5dd92cc124137d7d2
-UuX1xuaiiE$_$1,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/1.mp4,1,2032933,10.35,13.434,30.0,309,44100,2,1.6666666269302368,Positive,VERIFIED,33,29,28,42,42,50,50,50,3,1,1,d471f24eea71413beda5ab9a8d71d9009f8b011ad297a70f3c9b866feb8291ed,1,1,33,8,8,768,25,1404,50,42,8,50,3,10.2675,10.333333333333334,1022,21af09127572a86e61406ff934cc79ba435eee951b7c5ff5fe7accb219ba7335
-UuX1xuaiiE$_$3,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/3.mp4,1,1424269,4.130013,10.634,30.0,123,44100,2,0.3333333432674408,Positive,VERIFIED,9,9,8,27,27,49,49,50,50,1,1,114f6c130a5780e4bd21a3ee7d0f1e96a6762c473bf6480726eed5e2f4cca848,1,1,9,23,23,768,25,1404,50,27,23,49,50,4.038375,4.1,399,8fc5718bca196ed9365e2286c2c05abb5029fa4274c2ce1cc373dba746e4b45a
-UuX1xuaiiE$_$6,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/6.mp4,1,1662602,8.113997,15.234,30.0,240,44100,2,-0.3333333432674408,Negative,VERIFIED,23,22,21,38,38,49,49,50,50,1,1,c43b399adb54428ef0129acf6b6544849c7a1656c873fe7ebd0b12f8c18bf0e0,1,1,23,12,12,768,25,1404,50,38,12,49,50,7.9438125,8.1,790,f9eabb951d9dea7cf79ee95e27caa7359acaa5bc25db517f2b1149499bb84337
-a55Q6RWvTA$_$3,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-a55Q6RWvTA/3.mp4,1,749365,22.153971,22.617,30.0,664,44100,2,0.6666666865348816,Positive,VERIFIED,81,69,65,45,45,50,50,50,49,1,1,fbf22294c8cddaf5ee270ae3b0959f7f323b66903b42b56da484eca44da73d88,1,1,81,5,5,768,25,1404,50,45,5,50,49,22.0833125,22.133333333333336,2204,5cddafd5929d5461c16039bc0424f4137a3275539d770ac5ba7fc8a141cd4e65
-aNfi7CP8vM$_$7,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aNfi7CP8vM/7.mp4,1,430559,8.694987,11.334,30.0,257,44100,2,0.0,Neutral,VERIFIED,23,20,19,38,38,50,50,50,50,1,1,69ff44722bec5e746de87a481c1bb8fbac1a24db91855f044aaf2a64c06d3044,1,1,23,12,12,768,25,1404,50,38,12,50,50,8.5376875,8.666666666666666,849,e36bcfc7dc0ffb607e3da264fa99b3da753e84b66a7bf0e41eb8cfb8f0b442bf
-aqamKhZ1Ec$_$0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aqamKhZ1Ec/0.mp4,1,2882018,10.966667,11.0,30.0,329,44100,2,-2.0,Negative,VERIFIED,16,13,13,32,32,50,50,50,50,1,1,af1a6c3bca0844b369ec8f9197d7df4dbfc4d2c73d7d76051c248abaca9cc4e6,1,1,16,18,18,768,25,1404,50,32,18,50,50,10.8901875,11.0,1085,74dcf1f41188106d31469947f3bd1b7668abbd1688bcd6d1d834218f9cd59715
-dxfTGcXJoc$_$0,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/0.mp4,1,771408,20.5,20.534,30.0,615,44100,2,1.0,Positive,VERIFIED,49,38,38,41,41,50,50,50,40,1,1,e30ee33e3693d7850a0b79bc274dc50c94e548dcf6fe419efedfea74485d4028,1,1,49,9,9,768,25,1404,50,41,9,50,40,20.410375,20.533333333333335,2037,178827e1fb103e784576231991f94d5984847e2049d888676f63ff6dbfe98d3a
-dxfTGcXJoc$_$1,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/1.mp4,1,658423,16.161003,19.7,30.0,482,44100,2,1.6666666269302368,Positive,VERIFIED,41,37,37,47,47,50,50,50,50,1,1,1ae41c3b30b1ad02266560b8f5935dae7a7570102ea492d6d892de0e77981f2f,1,1,41,3,3,768,25,1404,50,47,3,50,50,16.018125,16.133333333333336,1597,09061f843dc882ea2e242303b96ee7dff2428f62594a6757d740e305a4d4b543
-dxfTGcXJoc$_$2,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/2.mp4,1,675725,16.697982,19.552,30.0,500,44100,2,0.6666666865348816,Positive,VERIFIED,39,32,32,43,43,50,50,50,50,1,1,df23f6d228b3fc30120f9ed445e74fb858aa18ed4a47b2b354d2980062eb7a83,1,1,39,7,7,768,25,1404,50,43,7,50,50,16.6331875,16.666666666666668,1659,3346b8e6c9f2aa6d03c44f1561e4460c10d556c389758326003731931ce4b7b7
-dxfTGcXJoc$_$6,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/6.mp4,1,428971,12.735026,12.967,30.0,381,44100,2,0.6666666865348816,Positive,VERIFIED,32,29,28,45,45,50,50,50,50,1,1,fabbf207e54474cff665887374ed457d3d4b68f870a2b8f3813c1ca9d801903f,1,1,32,5,5,768,25,1404,50,45,5,50,50,12.6284375,12.733333333333333,1258,ba5c0d7f9742f433e9825b3817fec21dc14120ac62a68893eb5eabd1ff219c34
-egA8-b7-3M$_$1,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/1.mp4,1,658247,10.266016,11.534,30.0,306,44100,2,0.6666666865348816,Positive,VERIFIED,22,19,19,33,33,50,50,50,50,1,1,9ea2d3a96ca9bc3b0758bc024f7c0c0e0a9f88c9df1cf4b955ddbdf4477efeab,1,1,22,17,17,768,25,1404,50,33,17,50,50,10.15625,10.233333333333333,1011,bdd9e88aa67b0027e0af9bda4e7a1a6ec7a9881ce1f293345d682dff687e4299
-egA8-b7-3M$_$13,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/13.mp4,1,394399,4.183984,6.967,30.0,123,44100,2,0.3333333432674408,Positive,VERIFIED,16,13,13,31,31,49,49,50,50,1,1,a93c0f04e4c0eeef0dbee6fc906a39d5f4936c68b9c0758a3d23616f627d56b5,1,1,16,19,19,768,25,1404,50,31,19,49,50,4.023875,4.166666666666667,398,d22c80a90ad3aa34f57236b661c7dca878e4bf1050b0b8f5a58f8e337b0db68c
-egA8-b7-3M$_$16,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/16.mp4,1,391465,5.538021,7.129,30.0,166,44100,2,0.6666666865348816,Positive,VERIFIED,13,11,11,40,40,50,50,50,50,1,1,6f3b872cb0a30b9f981b4f662a75fbdec4c34dc30c198a00f03b9f856a27bc32,1,1,13,10,10,768,25,1404,50,40,10,50,50,5.483,5.533333333333333,544,d6ef0eafc00f4f77e9441ded6c7d3317af6a550f8d1b0baee2cc191cd26e64c9
-egA8-b7-3M$_$17,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/17.mp4,1,774900,7.271029,14.0,30.0,215,44100,2,0.3333333432674408,Positive,VERIFIED,19,16,16,32,32,49,49,50,50,1,1,51cd71479f0af9085595c953d5b62b3eb91ac7a82584ef420cdac434ad9351e6,1,1,19,18,18,768,25,1404,50,32,18,49,50,7.09525,7.266666666666667,705,31744cfca303776abc062fb16f99d1ed73bf1d22ff7e081626325225ef26727b
-egA8-b7-3M$_$18,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/18.mp4,1,737865,8.386003,13.367,30.0,250,44100,2,1.0,Positive,VERIFIED,27,26,25,39,39,50,50,50,50,1,1,1bc0cfb439e50448ba36299394c07ab84405edbfad735e84531afdb653865a89,1,1,27,11,11,768,25,1404,50,39,11,50,50,8.2656875,8.366666666666667,822,392aeb68460b3a6ad7193b6393c0d06b39ede68dfd141ee77cc58e7018fd70c6
-egA8-b7-3M$_$20,E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/20.mp4,1,823539,6.644987,14.767,30.0,196,44100,2,0.3333333432674408,Positive,VERIFIED,24,22,22,37,37,49,49,50,50,1,1,44530a28d6cdf51a420e8a51a81a72d12a6269e3adc9e906fdd96b109d7b730f,1,1,24,13,13,768,25,1404,50,37,13,49,50,6.4744375,6.633333333333333,643,29a7a2d48680e6a7568c47e30c97164817ca672607eee0ddeede6dc1518b2580
