station,timestamp,cycle_index,code_token,record_id,source_line,qc_token,named_values_json,profile_min,profile_max,profile_zero_count,raw_row_sha256
station_b,2025-08-02 00:20,1,11,45,47,9,"[25.3, 99.1, 991.1, 24.2, 0.0, 0.5, 67.43, 1.06]",-26.523,25.3,0,617ca5db4be36ad5548f53c071dc294aadf4f90e005c456a3a6948460dc788ee
station_b,2025-08-02 00:20,1,12,46,48,9,"[25.3, 99.1, 991.1, 24.2, 0.0, 0.5, 67.43, 1.06]",0.317,23.175,0,ddc065ee9b324058867360875b986b6d67b9cf27107ec2e82300028965f3cd2f
station_b,2025-08-02 00:20,1,13,47,49,9,"[25.3, 99.1, 991.1, 24.2, 0.0, 0.5, 67.43, 1.06]",59.695,98.998,0,d79bd54c572e8e9ed06100909b94010e7b836ba7752786c3ae25c28a791e3a7c
station_b,2025-08-02 00:20,1,14,48,50,9,"[25.3, 99.1, 991.1, 24.2, 0.0, 0.5, 67.43, 1.06]",0.0,1.04,29,7103b5e1e0f70e678e9ae3eb6ec0de005b606217152ed42c35e6c490122a01c1
station_b,2025-08-02 00:20,2,11,49,51,9,"[25.3, 99.1, 991.1, 23.9, 0.0, 0.56, 68.09, 1.12]",-26.509,25.3,0,6061dae0192d3df95711cf1bb3017635be804dc6c16735d77e0fedb1c9ac96e1
station_b,2025-08-02 00:20,2,12,50,52,9,"[25.3, 99.1, 991.1, 23.9, 0.0, 0.56, 68.09, 1.12]",0.318,23.175,0,b1adf259f96ef8ccad8af3d6a09e3a8953e66c0d7ddcee2f227ef431852aa9fb
station_b,2025-08-02 00:20,2,13,51,53,9,"[25.3, 99.1, 991.1, 23.9, 0.0, 0.56, 68.09, 1.12]",61.089,98.995,0,8b52e65c65bc4897fe506e201a56012f831e8bc0b8f5a9e09bec5db40d31637a
station_b,2025-08-02 00:20,2,14,52,54,9,"[25.3, 99.1, 991.1, 23.9, 0.0, 0.56, 68.09, 1.12]",0.0,1.141,29,87e71768f15765167ffa761fa463afa1ec073d33e4e239789827dfcb52354e1a
station_b,2025-08-02 00:24,1,11,53,55,9,"[25.3, 99.1, 991.0, 24.1, 0.0, 0.48, 68.99, 1.28]",-26.533,25.3,0,5b92f536ed27ce895a67322c3faa28d5a5402379a43d424076a7210dbe203101
station_b,2025-08-02 00:24,1,12,54,56,9,"[25.3, 99.1, 991.0, 24.1, 0.0, 0.48, 68.99, 1.28]",0.315,23.174,0,4e87175ff5c91d4a57165aec9d608fae8d6f2d93161147b59b63aa2b0b06620f
station_b,2025-08-02 00:24,1,13,55,57,9,"[25.3, 99.1, 991.0, 24.1, 0.0, 0.48, 68.99, 1.28]",61.122,98.991,0,d7ac6e1796c4d2bd8ab243bfc3deb924af37fedb46c190532c391a881abe742b
station_b,2025-08-02 00:24,1,14,56,58,9,"[25.3, 99.1, 991.0, 24.1, 0.0, 0.48, 68.99, 1.28]",0.0,1.372,29,4b3384581362deeae956ce95f04a0cd959f2c7e06ea3196b8f040a1e35f4803f
station_b,2025-08-02 00:24,2,11,57,59,9,"[25.3, 99.1, 991.0, 24.4, 0.0, 0.39, 70.81, 1.61]",-26.512,25.3,0,9b36073dbb3076a5befc1db0167354ac0ba78c86429f2f7b5519b6b45da55407
station_b,2025-08-02 00:24,2,12,58,60,9,"[25.3, 99.1, 991.0, 24.4, 0.0, 0.39, 70.81, 1.61]",0.306,23.175,0,2effd46669a0739df7872e42df01c4d13e383b17bc6b28693044c73483e479ed
station_b,2025-08-02 00:24,2,13,59,61,9,"[25.3, 99.1, 991.0, 24.4, 0.0, 0.39, 70.81, 1.61]",50.285,98.998,0,34cb6913148896364dd9b72b96421150f32844b3c1bb37578033dfef5779f5bf
station_b,2025-08-02 00:24,2,14,60,62,9,"[25.3, 99.1, 991.0, 24.4, 0.0, 0.39, 70.81, 1.61]",0.0,1.317,26,c6972b6f3b4c2b721dcb4cc419436029364aafd62544ff89aaadfcac7dde041a
station_b,2025-08-02 00:28,1,11,61,63,9,"[25.3, 99.1, 991.0, 24.5, 0.0, 0.37, 73.05, 2.03]",-26.509,25.3,0,998c6128e126b8a5bb928a01773a32752561ac7c60f86315925b4701429a9298
station_b,2025-08-02 00:28,1,12,62,64,9,"[25.3, 99.1, 991.0, 24.5, 0.0, 0.37, 73.05, 2.03]",0.306,23.175,0,89da2c70b4f0de395322911a2165a3ebf9adfbd5ee6112c94dc5f5c6d7c3ca55
station_b,2025-08-02 00:28,1,13,63,65,9,"[25.3, 99.1, 991.0, 24.5, 0.0, 0.37, 73.05, 2.03]",28.588,98.995,0,9903226692ebd653d8091d0151e988e6ccbd5551c6b389ae9ba538c0507de024
station_b,2025-08-02 00:28,1,14,64,66,9,"[25.3, 99.1, 991.0, 24.5, 0.0, 0.37, 73.05, 2.03]",0.0,0.949,15,2ea252c3a0a2071dfe70b13da06bbf1582d64c4d8f59ef7ee8b9a0db41d6feba
station_b,2025-08-02 00:28,2,11,65,67,9,"[25.3, 99.1, 991.0, 24.6, 0.0, 0.32, 75.61, 2.47]",-26.533,25.3,0,908866074001fcce95955e606643216a7122fb8210d44a256018e33cdab64b5e
station_b,2025-08-02 00:28,2,12,66,68,9,"[25.3, 99.1, 991.0, 24.6, 0.0, 0.32, 75.61, 2.47]",0.307,23.635,0,6d0b88628d2f96d2910574f4f85618135cad8192e417c6b998b3b94919f9dd6b
station_b,2025-08-02 00:28,2,13,67,69,9,"[25.3, 99.1, 991.0, 24.6, 0.0, 0.32, 75.61, 2.47]",11.619,98.996,0,d7abc2baa8f51ae118202adccc66f7dea7aae1fed289e61b5f60ede88e2eba0e
station_b,2025-08-02 00:28,2,14,68,70,9,"[25.3, 99.1, 991.0, 24.6, 0.0, 0.32, 75.61, 2.47]",0.0,1.652,21,dec7e7f3fe64123f5391798d01bcc08a90a66981d419d7af6dccfc5fa67e33cd
